title,date,url,post_h3
PSF Welcomes New Executive Director Deb Nicholson,2022-04-07,http://pyfound.blogspot.com/2022/04/deb-nicholson-new-executive-director.html,['\nPSF Welcomes New Executive Director Deb Nicholson\n']
The last Python 3.11 alpha (3.11.0a7) is available,2022-04-06,https://pythoninsider.blogspot.com/2022/04/the-last-python-311-alpha-3110a7-is.html,['\nThe last Python 3.11 alpha (3.11.0a7) is available\n']
Python 3.10.4 and 3.9.12 are now available out of schedule,2022-03-24,https://pythoninsider.blogspot.com/2022/03/python-3104-and-3912-are-now-available.html,"['\nPython 3.10.4 and 3.9.12 are now available out of schedule\n', '\nWe hope you enjoy the new releases']"
Meta deepens its investment in the Python ecosystem,2022-03-22,http://pyfound.blogspot.com/2022/03/meta-deepens-its-investment-in-python.html,['\nMeta deepens its investment in the Python ecosystem\n']
"Python 3.10.3, 3.9.11, 3.8.13, and 3.7.13 are now available with security content",2022-03-16,https://pythoninsider.blogspot.com/2022/03/python-3103-3911-3813-and-3713-are-now.html,"['\nPython 3.10.3, 3.9.11, 3.8.13, and 3.7.13 are now available with security content\n', '\nPython 3.10.3', '\nPython 3.9.11', '\nPython 3.8.13', '\nPython 3.7.13', '\nWe hope you enjoy the new releases']"
